,Title,Link,Published
33,2020 Annual Survey of Indexed Assets,https://www.spglobal.com/spdji/en/documents/index-news-and-announcements/spdji-indexed-asset-survey-2020.pdf,"Tue, 29 Jun 2021 12:45:00 EDT"
34,S&P Dow Jones Indices Wins Environmental Finance’s ESG Index Provider of the Year Award,https://www.spglobal.com/spdji/en#,"Mon, 28 Jun 2021 09:30:00 EDT"
35,S&P 500 Buybacks Double their Post Covid Low; Companies repurchased 36.5% more  shares than in Q4 2020,https://www.spglobal.com/spdji/en#,"Tue, 15 Jun 2021 10:30:00 EDT"
36,S&P/Experian Consumer Credit Default Indices Show Drop in Composite Rate in April 2021,https://www.spglobal.com/spdji/en#,"Tue, 18 May 2021 09:00:00 EDT"
37,S&P Dow Jones Indices Reaches Settlement With SEC,https://www.spglobal.com/spdji/en#,"Mon, 17 May 2021 10:00:00 EDT"
38,Federal Government of Germany Selects S&P Dow Jones Indices to Create EU Climate Transition Index,https://www.spglobal.com/spdji/en#,"Wed, 05 May 2021 13:00:00 EDT"
39,S&P 500 Buybacks Increase 28.2% in Q4 2020 from Q3 2020; Full Year 2020 down 28.7% from  2019,https://www.spglobal.com/spdji/en#,"Wed, 24 Mar 2021 10:30:00 EDT"
40,标普道琼斯股票指数的受制裁证券政策更新,https://www.spglobal.com/spdji/en/documents/index-news-and-announcements-lls/1318767_spdjiequityindicessanctionedsecuritiespolicyupdate2-17-2021chinese.pdf,"Mon, 22 Feb 2021 15:54:00 EST"
41,S&P Dow Jones Indices Wins ESG Investing’s Best ESG Index Provider Award,https://www.spglobal.com/spdji/en#,"Thu, 11 Feb 2021 08:00:00 EST"
42,S&P CoreLogic Case-Shiller Index Shows Annual Home Price Gains Climbed To 9.5% In November,https://www.spglobal.com/spdji/en#,"Tue, 26 Jan 2021 09:00:00 EST"
43,S&P Dow Jones Indices Introduces New ESG Aligned Target Risk Index Series,https://www.spglobal.com/spdji/en#,"Thu, 21 Jan 2021 22:31:00 EST"
44,S&P Dow Jones Indices and the Santiago Exchange Launch the S&P IPSA ESG Tilted Index,https://www.spglobal.com/spdji/en#,"Wed, 20 Jan 2021 10:00:00 EST"
